case,year,month,product,sector,n_cells,hfr_mean,hsc_mean,hfi_mean
B,2013,6,CryoTEMPO_CS2,Western_Pacific,392,0.10479717701673508,0.03267646208405495,0.13747364282608032
B,2013,6,CryoTEMPO_CS2,Ross,1198,0.059930771589279175,0.03717679902911186,0.09710756689310074
B,2013,6,CryoTEMPO_CS2,Amundsen_Bellingshausen,636,0.04026508331298828,0.03928638994693756,0.07955146580934525
C,2013,6,CryoTEMPO_CS2,Western_Weddell,499,0.08878924697637558,0.08941947668790817,0.17820870876312256
C,2013,6,CryoTEMPO_CS2,Eastern_Weddell,1007,0.06261283159255981,0.04480466991662979,0.1074175015091896
C,2013,6,CryoTEMPO_CS2,Indian,680,0.03358326479792595,0.0269779060035944,0.0605611689388752
C,2013,6,CryoTEMPO_CS2,Western_Pacific,392,0.10479717701673508,0.03603857755661011,0.1408357471227646
C,2013,6,CryoTEMPO_CS2,Ross,1198,0.059930771589279175,0.04106282815337181,0.10099360346794128
C,2013,6,CryoTEMPO_CS2,Amundsen_Bellingshausen,636,0.04026508331298828,0.043239153921604156,0.08350423723459244
D,2013,6,CryoTEMPO_CS2,Western_Weddell,499,0.08878924697637558,0.08100642263889313,0.1697956770658493
D,2013,6,CryoTEMPO_CS2,Eastern_Weddell,1007,0.06261283159255981,0.04058920964598656,0.10320203751325607
D,2013,6,CryoTEMPO_CS2,Indian,680,0.03358326479792595,0.024439683184027672,0.05802294611930847
D,2013,6,CryoTEMPO_CS2,Western_Pacific,392,0.10479717701673508,0.03264787793159485,0.13744506239891052
D,2013,6,CryoTEMPO_CS2,Ross,1198,0.059930771589279175,0.03719942644238472,0.0971302017569542
D,2013,6,CryoTEMPO_CS2,Amundsen_Bellingshausen,636,0.04026508331298828,0.03917098417878151,0.07943607121706009
A,2013,7,CCI_CS2,Western_Weddell,512,0.1602599173784256,0.07804868370294571,0.2383085936307907
A,2013,7,CCI_CS2,Eastern_Weddell,1302,0.0843697264790535,0.04448916018009186,0.12885887920856476
